epoch,loss
0,0.005396469496190548
1,0.0008864099509082735
2,0.0007791519747115672
3,0.0009200115455314517
4,0.0007153893820941448
5,0.0007332621607929468
6,0.0005918996757827699
7,0.0007023472571745515
8,0.0008307733223773539
9,0.0006960079190321267
10,0.0006310227909125388
11,0.0005568332853727043
12,0.0005004741833545268
13,0.0005662801559083164
14,0.0005416686180979013
15,0.0004970856243744493
16,0.00047499692300334573
17,0.00046808033948764205
18,0.00043455552076920867
19,0.00042440072866156697
20,0.0004860526241827756
21,0.0004529881989583373
22,0.0004271659709047526
23,0.0004327992210164666
24,0.0003993688733316958
25,0.0004060931387357414
26,0.00038279188447631896
27,0.0004165400459896773
28,0.0003693424223456532
29,0.00036532539525069296
30,0.0003951874386984855
31,0.00038351956754922867
32,0.0004600512620527297
33,0.0003655151813291013
34,0.00043227418791502714
35,0.00032403168734163046
36,0.0003606450918596238
37,0.0003236749616917223
38,0.00034233948099426925
39,0.00032482107053510845
40,0.0003303736448287964
41,0.00035531193134374917
42,0.0003759571991395205
43,0.00031032878905534744
44,0.0002983091399073601
45,0.0002963122387882322
46,0.0003159180923830718
47,0.00028340754215605557
48,0.00030016270466148853
49,0.00033335675834678113
